customer_id,segment,R_score,F_score,M_score,RFM_score,recency_days,frequency,monetary,avg_discount,return_rate,complaint_score,engagement_score,sessions_30d,last_visit_days_ago,last_campaign_received,manual_priority_bucket,churn_next_60d,split
CUST00024,Promising Risers,5,1,1,7,4,1,481.35,0.34,0.0,0.0,0.4666153846012752,13,0,new_launch,low,0,test
CUST00025,At-Risk Customers,1,5,5,11,165,7,4868.86,0.31142857142857144,0.0,0.5333333333333333,0.3765641025486727,11,29,new_launch,high,1,test
CUST00026,At-Risk Customers,3,3,4,10,72,3,3561.3900000000003,0.16333333333333333,0.3333333333333333,0.4666666666666667,0.3708717948603451,14,26,none,medium,0,train
CUST00027,At-Risk Customers,3,1,3,7,70,1,2128.34,0.3,1.0,0.4666666666666667,0.4350256410063209,11,18,free_shipping,medium,0,validation
CUST00028,At-Risk Customers,3,2,2,7,83,2,1489.7800000000002,0.19,0.0,0.06666666666666667,0.2019487179451619,1,19,free_shipping,high,0,train
CUST00029,Champions,5,5,5,15,18,8,5252.9,0.23374999999999999,0.0,0.0,0.21399999999944,1,0,free_shipping,low,0,train
CUST00030,Champions,5,5,4,14,5,6,3435.5899999999997,0.34,0.0,0.5333333333333333,0.3773333333245622,11,3,free_shipping,medium,0,test
CUST00031,At-Risk Customers,3,1,1,5,49,1,672.95,0.24,0.0,0.0,0.30399999999297334,6,9,new_launch,medium,1,train
CUST00032,Loyal Customers,4,3,3,10,33,3,1948.75,0.3666666666666667,0.0,0.0,0.39133333332178,12,13,bundle_discount,low,0,test
CUST00033,At-Risk Customers,5,3,3,11,12,4,2128.09,0.405,0.5,0.5333333333333333,0.342615384606413,7,7,welcome_offer,medium,0,validation
CUST00034,At-Risk Customers,3,5,4,12,50,6,3353.01,0.26166666666666666,0.0,0.4,0.4903076922855606,7,0,welcome_offer,medium,0,train
CUST00035,At-Risk Customers,2,3,2,7,127,3,1369.71,0.24333333333333332,0.0,0.0,0.3263076922958428,6,25,new_launch,high,1,train
CUST00036,At-Risk Customers,4,3,3,10,27,4,1737.33,0.365,0.25,0.4666666666666667,0.15333333333411112,0,14,bundle_discount,medium,1,train
CUST00037,At-Risk Customers,2,1,1,4,102,1,435.83,0.43,0.0,0.0,0.24461538460869967,5,28,welcome_offer,high,0,train
CUST00038,At-Risk Customers,3,3,3,9,51,4,2104.61,0.355,0.0,0.26666666666666666,0.2976923076844587,5,14,bundle_discount,medium,0,train
CUST00039,Loyal Customers,5,3,3,11,15,3,1598.49,0.2966666666666667,0.0,0.0,0.33861538460541746,6,4,welcome_offer,low,0,train
CUST00040,At-Risk Customers,1,1,1,3,154,1,634.73,0.38,0.0,0.06666666666666667,0.08553846153934729,1,42,none,high,1,train
CUST00041,At-Risk Customers,3,3,3,9,54,4,1911.8600000000001,0.3475,0.0,0.4666666666666667,0.2928205128084403,5,22,free_shipping,medium,1,train
CUST00042,At-Risk Customers,2,5,5,12,87,9,7523.74,0.21888888888888888,0.2222222222222222,0.8,0.3261025640885044,3,14,none,high,0,train
CUST00043,At-Risk Customers,4,1,1,6,24,1,363.01,0.43,0.0,0.0,0.24199999999832,3,0,welcome_offer,low,0,test
CUST00044,At-Risk Customers,3,3,4,10,72,3,2724.09,0.38666666666666666,0.0,0.6666666666666667,0.36348717947249143,6,10,welcome_offer,medium,0,test
CUST00045,At-Risk Customers,2,1,1,4,96,1,413.75,0.33,0.0,0.0,0.31861538460575073,6,10,welcome_offer,high,1,train
CUST00046,At-Risk Customers,2,1,1,4,127,1,489.87,0.13,0.0,0.0,0.38338461536787516,7,29,new_launch,high,1,train
CUST00047,Dormant Customers,1,1,1,3,204,1,764.43,0.16,0.0,0.0,0.17594871794276856,2,36,free_shipping,high,1,train
CUST00048,At-Risk Customers,3,3,3,9,61,4,2450.45,0.3125,0.25,0.4666666666666667,0.36133333332450224,12,12,none,medium,0,validation
CUST00049,At-Risk Customers,5,1,1,7,8,1,380.83,0.47,0.0,0.0,0.3239487179396486,4,0,new_launch,low,0,train
CUST00050,At-Risk Customers,5,3,3,11,0,3,2466.39,0.3333333333333333,0.3333333333333333,0.4666666666666667,0.30994871794020856,3,0,bundle_discount,low,0,train
CUST00051,Dormant Customers,1,3,5,9,210,4,4444.3,0.3525,0.0,0.5333333333333333,0.3263076922908428,6,35,new_launch,high,1,train
CUST00052,At-Risk Customers,3,3,4,10,55,3,2807.14,0.21,0.3333333333333333,0.4666666666666667,0.3046666666604133,7,8,free_shipping,medium,1,train
CUST00053,At-Risk Customers,4,3,5,12,25,4,4192.59,0.395,0.0,0.6333333333333333,0.39394871793573744,9,5,welcome_offer,medium,0,validation
CUST00054,At-Risk Customers,5,1,1,7,6,1,489.85,0.25,0.0,0.0,0.2586666666635978,3,0,welcome_offer,low,0,train
CUST00055,At-Risk Customers,5,3,2,10,3,3,1308.35,0.24666666666666667,0.0,0.4666666666666667,0.4314358974179911,6,0,new_launch,low,0,train
CUST00056,At-Risk Customers,5,3,4,12,9,4,3530.41,0.28500000000000003,0.0,0.4666666666666667,0.2586666666635978,3,0,new_launch,medium,0,validation
CUST00057,At-Risk Customers,2,2,3,7,136,2,2510.83,0.245,0.0,0.0,0.3385128204983568,7,29,none,high,1,train
CUST00058,Loyal Customers,4,3,3,10,42,4,2451.54,0.23249999999999998,0.0,0.0,0.38364102562063834,2,6,new_launch,medium,0,test
CUST00059,Loyal Customers,5,3,4,12,2,3,2852.63,0.32666666666666666,0.0,0.0,0.25199999999704226,3,2,new_launch,low,0,test
CUST00060,At-Risk Customers,2,1,1,4,145,1,293.22,0.36,0.0,0.0,0.2366666666622,5,20,none,high,1,train
CUST00061,At-Risk Customers,5,3,3,11,14,4,1966.0900000000001,0.41,0.0,0.4666666666666667,0.2790769230681857,4,15,welcome_offer,medium,0,train
CUST00062,At-Risk Customers,4,3,4,11,21,4,2805.19,0.2525,0.0,0.4666666666666667,0.4734358974177,9,0,welcome_offer,low,0,train
CUST00063,Dormant Customers,1,1,1,3,216,1,397.69,0.22,0.0,0.4666666666666667,0.15461538461405522,0,24,bundle_discount,high,1,train
CUST00064,Promising Risers,5,1,1,7,2,1,654.93,0.43,0.0,0.0,0.3786666666566311,8,0,free_shipping,low,0,test
CUST00065,At-Risk Customers,5,1,3,9,6,1,1911.67,0.0,0.0,0.0,0.3214871794763936,3,0,bundle_discount,low,0,train
CUST00066,Dormant Customers,1,4,5,10,320,5,4598.95,0.292,0.0,0.4666666666666667,0.2616923076794876,11,60,bundle_discount,high,1,train
CUST00067,At-Risk Customers,3,2,2,7,63,2,1246.44,0.19999999999999998,0.5,0.4666666666666667,0.27682051281112474,1,5,welcome_offer,medium,1,test
CUST00068,Dormant Customers,1,3,3,7,346,3,2123.66,0.24333333333333332,0.3333333333333333,0.4666666666666667,0.12128205127714409,5,60,bundle_discount,high,1,train
CUST00069,Promising Risers,4,2,2,8,29,2,874.47,0.225,0.0,0.0,0.44010256408714443,9,0,bundle_discount,low,1,train
CUST00070,At-Risk Customers,4,1,1,6,38,1,542.98,0.34,0.0,0.0,0.16553846153801396,1,18,none,high,1,train
CUST00071,At-Risk Customers,4,1,3,8,32,1,2062.5,0.08,0.0,0.4666666666666667,0.27656410255332825,1,12,free_shipping,high,1,train
CUST00072,Loyal Customers,2,3,4,9,90,4,2587.02,0.1925,0.0,0.0,0.3356923076784498,7,26,none,high,1,train
CUST00073,Champions,5,4,5,14,8,5,4077.07,0.154,0.0,0.0,0.3774871794755425,7,0,none,low,0,train
CUST00074,At-Risk Customers,5,4,3,12,7,4,2523.65,0.39,0.25,0.4666666666666667,0.412410256394919,14,22,new_launch,medium,0,train
CUST00075,Champions,5,5,5,15,3,9,6791.61,0.3011111111111111,0.0,0.7166666666666668,0.3299999999923444,10,13,none,low,0,train
CUST00076,Promising Risers,5,2,2,9,20,2,1385.27,0.22000000000000003,0.0,0.0,0.5279999999812023,17,8,bundle_discount,low,0,train
CUST00077,At-Risk Customers,2,1,1,4,109,1,394.32,0.36,0.0,0.0,0.13333333333444444,0,20,welcome_offer,high,1,validation
CUST00078,At-Risk Customers,2,1,2,5,139,1,894.45,0.42,1.0,0.6666666666666667,0.1599999999979222,5,38,welcome_offer,high,1,train
CUST00079,At-Risk Customers,1,1,1,3,191,1,619.57,0.05,0.0,0.0,0.12466666666726889,2,31,none,high,1,train
CUST00080,Loyal Customers,3,3,4,10,50,3,2563.41,0.18999999999999997,0.0,0.0,0.41066666665511775,11,3,none,medium,0,train
CUST00081,Champions,5,5,5,15,19,8,5311.16,0.16,0.25,0.6666666666666667,0.43466666665439113,12,0,bundle_discount,low,0,train
CUST00082,Dormant Customers,1,3,3,7,254,3,1671.25,0.17,0.0,0.0,0.3154358974170977,7,44,none,high,1,test
CUST00083,At-Risk Customers,2,2,2,6,89,2,806.87,0.33499999999999996,0.5,0.6666666666666667,0.30266666665979336,9,17,bundle_discount,high,1,train
CUST00084,At-Risk Customers,1,1,2,4,167,1,1273.18,0.12,0.0,0.0,0.3752820512653952,11,34,bundle_discount,high,1,train
CUST00085,At-Risk Customers,5,1,2,8,14,1,1257.8,0.2,0.0,0.0,0.31199999999552,8,0,none,low,1,train
CUST00086,At-Risk Customers,4,4,3,11,21,5,2195.41,0.266,0.0,0.4666666666666667,0.42235897434228314,7,0,welcome_offer,medium,0,test
CUST00087,At-Risk Customers,4,1,2,7,44,1,933.58,0.38,0.0,0.0,0.16400000000027334,1,15,new_launch,high,0,train
CUST00088,At-Risk Customers,2,5,5,12,98,12,6774.5,0.365,0.0,0.6666666666666667,0.3108717948640895,9,18,new_launch,high,1,test
CUST00089,At-Risk Customers,1,2,4,7,165,2,2825.75,0.25,0.0,0.0,0.4005641025440571,12,31,none,high,1,train
CUST00090,At-Risk Customers,3,4,3,10,80,4,1966.31,0.375,0.0,0.4666666666666667,0.19999999999503332,5,36,new_launch,high,0,train
CUST00091,Loyal Customers,2,4,4,10,90,4,3726.87,0.16499999999999998,0.0,0.06666666666666667,0.37266666665529335,9,11,free_shipping,high,0,train
CUST00092,At-Risk Customers,4,1,1,6,21,1,430.85,0.26,0.0,0.0,0.20399999999960666,1,3,new_launch,high,0,test
CUST00093,At-Risk Customers,3,1,1,5,85,1,759.64,0.12,0.0,0.0,0.6411794871428723,16,21,none,high,1,validation
CUST00094,At-Risk Customers,1,4,4,9,183,4,3557.43,0.1975,0.0,0.5333333333333333,0.1801538461447136,6,60,new_launch,high,1,validation
CUST00095,At-Risk Customers,3,1,1,5,65,1,372.65,0.41,0.0,0.6666666666666667,0.3730769230657701,10,7,welcome_offer,medium,1,train
CUST00096,At-Risk Customers,3,3,3,9,61,3,1563.75,0.37666666666666665,0.3333333333333333,0.4666666666666667,0.3513333333246689,12,15,new_launch,medium,0,test
CUST00097,Champions,5,5,5,15,1,7,4703.46,0.3685714285714286,0.14285714285714285,0.33333333333333337,0.2,0,0,new_launch,low,0,train
CUST00098,At-Risk Customers,1,2,3,6,184,2,1843.57,0.195,0.0,0.4666666666666667,0.14866666666490888,8,49,bundle_discount,high,1,train
CUST00099,At-Risk Customers,2,4,4,10,144,5,3410.87,0.192,0.0,0.4666666666666667,0.29035897434546315,4,27,welcome_offer,high,0,train
CUST00100,At-Risk Customers,3,1,1,5,70,1,372.37,0.29,0.0,0.0,0.11733333333438443,1,29,bundle_discount,high,0,validation
CUST00101,At-Risk Customers,2,4,4,10,108,5,3514.87,0.274,0.0,0.5333333333333333,0.1546666666656578,2,27,free_shipping,high,1,train
CUST00102,At-Risk Customers,3,1,1,5,83,1,732.65,0.16,0.0,0.0,0.23287179486878729,2,7,welcome_offer,high,0,train
CUST00103,Promising Risers,4,1,2,7,21,1,1469.96,0.08,0.0,0.0,0.3801538461413803,6,0,none,low,0,train
CUST00104,At-Risk Customers,2,1,2,5,93,1,955.63,0.31,0.0,0.0,0.20328205127781968,3,27,bundle_discount,high,1,validation
CUST00105,At-Risk Customers,4,1,3,8,46,1,2052.43,0.18,0.0,0.0,0.23861538461232856,1,3,new_launch,high,0,train
CUST00106,At-Risk Customers,3,5,5,13,61,7,4352.11,0.2814285714285714,0.0,0.4666666666666667,0.21666666666364442,5,21,bundle_discount,medium,1,train
CUST00107,Loyal Customers,5,3,4,12,12,3,3548.15,0.11333333333333334,0.0,0.0,0.21133333333138,2,10,free_shipping,low,0,validation
CUST00108,At-Risk Customers,4,1,2,7,44,1,1074.5,0.22,1.0,0.4666666666666667,0.23333333333114445,5,11,new_launch,medium,1,train
CUST00109,Loyal Customers,2,4,4,10,92,5,3837.05,0.332,0.0,0.0,0.21194871794360634,1,16,free_shipping,high,0,test
CUST00110,Champions,4,5,4,13,35,6,3922.07,0.26333333333333336,0.0,0.6333333333333333,0.24599999999681557,4,8,new_launch,medium,1,train
CUST00111,At-Risk Customers,1,1,2,4,178,1,1135.09,0.23,0.0,0.0,0.1435384615377273,3,33,welcome_offer,high,1,test
CUST00112,Champions,5,5,5,15,0,8,5576.25,0.23875,0.125,0.4666666666666667,0.2726666666630378,4,0,welcome_offer,low,0,train
CUST00113,Discount Dependents,4,2,3,9,28,2,1601.31,0.385,0.0,0.0,0.46466666665448,17,2,free_shipping,low,0,train
CUST00114,Dormant Customers,1,5,5,11,239,6,5133.53,0.265,0.0,0.4666666666666667,0.18482051281339362,3,41,new_launch,high,1,test
CUST00115,At-Risk Customers,1,1,1,3,159,1,596.54,0.14,0.0,0.4666666666666667,0.4567179486966863,12,23,welcome_offer,high,1,train
CUST00116,At-Risk Customers,2,5,5,12,143,6,5635.9,0.18666666666666668,0.0,0.0,0.34948717947252916,10,26,new_launch,high,1,validation
CUST00117,Loyal Customers,2,4,3,9,123,4,2534.33,0.16499999999999998,0.0,0.0,0.1546666666656578,2,27,bundle_discount,high,1,train
CUST00118,At-Risk Customers,4,1,1,6,27,1,689.56,0.18,0.0,0.0,0.24133333333088,2,1,none,low,0,train
CUST00119,At-Risk Customers,3,3,4,10,69,3,2848.36,0.3466666666666667,0.0,0.4666666666666667,0.3979999999905578,12,1,free_shipping,medium,0,train
CUST00120,At-Risk Customers,4,1,1,6,26,1,261.95,0.27,0.0,0.0,0.3173333333260845,6,5,bundle_discount,low,0,train
CUST00121,At-Risk Customers,4,2,3,9,27,2,2496.0299999999997,0.19,0.0,0.0,0.3479487179378108,5,2,free_shipping,low,0,validation
CUST00122,Discount Dependents,2,2,3,7,106,2,2048.93,0.36,0.0,0.0,0.4387179486926396,10,30,none,high,1,train
CUST00123,At-Risk Customers,2,5,4,11,102,6,2989.07,0.34833333333333333,0.16666666666666666,0.6000000000000001,0.1679999999987689,2,23,new_launch,high,0,train
CUST00124,At-Risk Customers,1,4,4,9,194,4,2570.5,0.3375,0.0,0.0,0.1599999999968111,5,43,new_launch,high,1,train
CUST00125,Discount Dependents,5,2,3,10,8,2,1698.4,0.395,0.0,0.0,0.2743589743517587,0,0,none,low,0,train
CUST00126,Discount Dependents,3,2,2,7,57,2,1260.02,0.43,0.0,0.0,0.31128205127536634,5,3,new_launch,medium,1,train
CUST00127,At-Risk Customers,4,2,1,7,24,2,729.55,0.29500000000000004,0.0,0.0,0.20866666666443112,3,15,welcome_offer,low,0,test
CUST00128,Discount Dependents,5,2,3,10,19,2,1716.68,0.42000000000000004,0.0,0.0,0.5099999999832667,15,0,free_shipping,low,0,test
CUST00129,Loyal Customers,3,3,4,10,83,3,3369.08,0.3133333333333333,0.3333333333333333,0.13333333333333333,0.34133333332535776,7,2,bundle_discount,high,0,train
CUST00130,At-Risk Customers,2,1,2,5,88,1,1272.47,0.48,0.0,0.0,0.3603589743487743,9,12,new_launch,high,0,train
CUST00131,Loyal Customers,3,5,5,13,67,6,6830.01,0.29,0.0,0.0,0.30035897435029646,4,14,welcome_offer,medium,1,train
CUST00132,Loyal Customers,2,4,5,11,117,5,4876.780000000001,0.346,0.0,0.0,0.20323076922621713,1,24,welcome_offer,high,1,train
CUST00133,At-Risk Customers,3,5,5,13,54,8,5982.58,0.3,0.0,0.4666666666666667,0.3043589743496254,5,12,free_shipping,medium,0,test
CUST00134,Champions,4,4,5,13,35,5,4075.34,0.292,0.2,0.5333333333333333,0.4496410256265984,11,4,new_launch,low,0,validation
CUST00135,Dormant Customers,1,4,3,8,333,4,2534.18,0.29000000000000004,0.0,0.0,0.12148717948111581,3,60,new_launch,high,1,test
CUST00136,At-Risk Customers,3,1,1,5,71,1,514.9,0.3,0.0,0.0,0.2813333333274689,7,15,new_launch,medium,1,train
CUST00137,At-Risk Customers,1,2,2,5,177,2,1035.87,0.315,0.0,0.0,0.1975384615342784,4,31,none,high,1,test
CUST00138,At-Risk Customers,3,1,2,6,61,1,905.11,0.46,0.0,0.0,0.24128205127514413,5,24,bundle_discount,medium,0,train
CUST00139,At-Risk Customers,4,2,3,9,28,2,1715.4,0.295,0.0,0.5333333333333333,0.28666666666025553,5,10,none,medium,0,test
CUST00140,Champions,5,4,4,13,6,4,3768.34,0.28250000000000003,0.0,0.5333333333333333,0.4342051281915118,14,12,new_launch,medium,0,test
CUST00141,At-Risk Customers,4,1,1,6,28,1,647.85,0.23,0.0,0.0,0.3470256410147965,4,0,none,low,0,test
CUST00142,At-Risk Customers,1,4,3,8,169,5,1880.0,0.4,0.0,0.0,0.09133333333449112,2,41,new_launch,high,1,test
CUST00143,Champions,4,5,5,14,32,6,7407.96,0.17333333333333334,0.0,0.0,0.29641025640201457,5,9,free_shipping,low,0,train
CUST00144,At-Risk Customers,2,5,5,12,86,9,6186.54,0.31555555555555553,0.1111111111111111,0.5333333333333333,0.4078974358788527,8,17,free_shipping,high,0,validation
CUST00145,At-Risk Customers,4,1,1,6,30,1,502.35,0.11,0.0,0.0,0.2,0,0,none,high,1,validation
CUST00146,At-Risk Customers,2,4,5,11,108,5,5942.68,0.188,0.2,0.4666666666666667,0.24702564101646315,4,30,free_shipping,high,0,train
CUST00147,Loyal Customers,3,3,4,10,84,3,2809.3199999999997,0.18333333333333335,0.0,0.06666666666666667,0.11733333333438443,1,29,new_launch,high,0,train
CUST00148,Champions,5,4,4,13,4,4,3013.01,0.23249999999999998,0.0,0.6666666666666667,0.31641025640057013,5,8,bundle_discount,low,0,train
CUST00149,Promising Risers,5,1,2,8,8,1,787.94,0.2,0.0,0.0,0.38507692306650126,8,0,bundle_discount,low,0,train
CUST00150,Discount Dependents,4,3,2,9,45,3,1355.63,0.39666666666666667,0.0,0.0,0.3683589743446209,6,7,welcome_offer,medium,0,train
CUST00151,At-Risk Customers,3,5,5,13,62,7,5530.69,0.30428571428571427,0.0,0.6000000000000001,0.39235897434667205,7,4,none,medium,0,train
CUST00152,Champions,4,5,5,14,46,7,4989.280000000001,0.3742857142857143,0.14285714285714285,0.6666666666666667,0.6401025640722111,19,7,bundle_discount,medium,0,train
CUST00153,At-Risk Customers,5,1,2,8,3,1,977.12,0.37,0.0,0.0,0.3173333333271956,6,0,welcome_offer,low,0,train
CUST00154,Champions,5,5,5,15,10,8,7145.24,0.23375,0.0,0.0,0.36687179486237176,8,2,new_launch,low,0,train
CUST00155,Loyal Customers,5,3,3,11,2,3,2024.8,0.39666666666666667,0.0,0.0,0.28066666666114004,6,11,none,low,0,train
CUST00156,At-Risk Customers,4,2,5,11,34,2,4241.75,0.14500000000000002,0.5,0.06666666666666667,0.5447179486984552,14,0,welcome_offer,medium,0,validation
CUST00157,At-Risk Customers,5,4,3,12,0,5,2269.91,0.238,0.0,0.4666666666666667,0.28174358973624575,3,5,welcome_offer,low,1,validation
CUST00158,At-Risk Customers,1,1,2,4,155,1,812.34,0.25,0.0,0.0,0.3578974358810749,8,32,free_shipping,high,1,train
CUST00159,Dormant Customers,1,2,4,7,474,2,3713.77,0.27,0.0,0.0,0.011538461540907274,0,60,free_shipping,high,1,train
CUST00160,At-Risk Customers,1,2,2,5,177,2,1064.66,0.28500000000000003,0.0,0.4666666666666667,0.18394871794448192,4,37,welcome_offer,high,1,test
CUST00161,Champions,5,4,5,14,20,4,4490.9,0.2625,0.0,0.0,0.4274871794713759,7,0,welcome_offer,low,0,train
CUST00162,At-Risk Customers,2,2,2,6,91,2,1194.5900000000001,0.29000000000000004,0.0,0.0,0.13466666666710222,2,28,none,high,1,train
CUST00163,At-Risk Customers,3,1,1,5,70,1,275.41,0.37,0.0,0.0,0.2863589743469676,3,19,free_shipping,medium,0,train
CUST00164,Dormant Customers,1,4,5,10,222,5,4657.03,0.24,0.0,0.4666666666666667,0.024000000002606655,1,57,free_shipping,high,1,train
CUST00165,Loyal Customers,2,3,3,8,103,3,1825.77,0.31,0.0,0.0,0.17799999999971336,2,15,welcome_offer,high,0,validation
CUST00166,At-Risk Customers,5,1,2,8,15,1,1269.41,0.37,0.0,0.06666666666666667,0.19066666666649554,1,7,new_launch,high,0,train
CUST00167,Dormant Customers,1,1,1,3,219,1,423.24,0.24,0.0,0.0,0.1364102564074257,0,31,bundle_discount,high,1,train
CUST00168,Loyal Customers,3,4,5,12,85,4,4159.16,0.1625,0.0,0.0,0.1428717948713984,2,29,bundle_discount,high,0,train
CUST00169,Dormant Customers,1,1,3,5,222,1,1799.45,0.12,0.0,0.0,0.06400000000194,1,45,new_launch,high,1,train
CUST00170,Champions,5,5,5,15,9,10,6759.48,0.27,0.0,0.6666666666666667,0.3033333333277556,5,0,new_launch,low,0,train
CUST00171,At-Risk Customers,5,1,2,8,12,1,1077.78,0.38,0.0,0.0,0.34420512819797844,9,3,none,low,0,test
CUST00172,Champions,5,5,5,15,8,7,4910.65,0.36428571428571427,0.0,0.4666666666666667,0.37769230767812534,5,0,new_launch,medium,0,train
CUST00173,At-Risk Customers,3,4,2,9,79,5,1431.69,0.384,0.0,0.4666666666666667,0.3999999999889555,10,2,bundle_discount,high,0,train
CUST00174,At-Risk Customers,2,5,3,10,86,6,2361.28,0.31166666666666665,0.16666666666666666,0.43333333333333335,0.3993333333198822,14,24,free_shipping,high,0,train
CUST00175,At-Risk Customers,3,4,4,11,59,4,3568.3199999999997,0.225,0.0,0.4666666666666667,0.2797435897370146,5,14,free_shipping,medium,1,train
CUST00176,Loyal Customers,4,3,4,11,37,3,3830.31,0.3433333333333333,0.0,0.0,0.3946666666539467,12,17,bundle_discount,medium,0,train
CUST00177,Discount Dependents,3,2,2,7,82,2,1003.66,0.45999999999999996,0.0,0.0,0.29133333332678,12,28,free_shipping,high,0,validation
CUST00178,Champions,5,5,5,15,5,8,5602.76,0.27625,0.25,0.6666666666666667,0.41307692306538124,10,0,none,medium,0,train
CUST00179,At-Risk Customers,4,3,3,10,38,3,1585.62,0.44333333333333336,0.0,0.33333333333333337,0.391692307675932,11,21,free_shipping,medium,0,train
CUST00180,At-Risk Customers,2,2,3,7,96,2,1570.85,0.26,0.5,0.4666666666666667,0.28266666666123774,9,18,welcome_offer,high,1,train
CUST00181,Promising Risers,5,1,2,8,6,1,1107.73,0.0,0.0,0.0,0.39415384614082033,7,0,free_shipping,low,0,train
CUST00182,At-Risk Customers,4,1,1,6,31,1,305.3,0.31,0.0,0.0,0.4474871794741314,12,0,none,low,0,train
CUST00183,At-Risk Customers,1,3,4,8,152,3,3246.8900000000003,0.25,0.0,0.4666666666666667,0.19015384614840253,1,26,free_shipping,high,1,test
CUST00184,Champions,5,4,5,14,14,5,5072.85,0.27199999999999996,0.0,0.33333333333333337,0.2806666666622511,6,6,none,low,1,test
CUST00185,Loyal Customers,2,5,5,12,114,7,4179.18,0.33428571428571424,0.0,0.0,0.3896410256250984,11,27,new_launch,high,0,train
CUST00186,At-Risk Customers,4,1,1,6,41,1,714.65,0.33,0.0,0.4666666666666667,0.2279999999977689,2,5,none,medium,0,train
CUST00187,At-Risk Customers,1,3,2,6,149,3,1344.75,0.5099999999999999,0.0,0.6666666666666667,0.19461538461088856,0,17,none,high,0,train
CUST00188,Champions,4,5,5,14,29,7,5810.17,0.3085714285714286,0.14285714285714285,0.6000000000000001,0.3655384615303029,11,5,bundle_discount,medium,1,validation
CUST00189,At-Risk Customers,2,5,5,12,140,9,5900.65,0.23333333333333334,0.1111111111111111,0.4666666666666667,0.3628205128073069,10,27,new_launch,high,0,train
CUST00190,At-Risk Customers,5,1,1,7,6,1,482.88,0.13,0.0,0.4666666666666667,0.2839999999955289,6,5,free_shipping,medium,0,train
